,Topic,Score,positive_documents,documents,positive_percentage,colors
0,report,58101.71151852701,27839,33345,0.8348777927725296,#0b7734
18,high,20937.29515276391,26392,30736,0.8586673607496096,#05712f
22,low,19687.050212020404,25914,29904,0.8665730337078652,#026f2e
2,company’s,43747.721242244144,25550,29237,0.8738926702466053,#006d2c
4,billion,31831.224455342406,25029,28929,0.8651871824121125,#026f2e
1,ratio,45345.97356112074,25388,28731,0.88364484354878,#00692a
5,firm,30936.422821422082,23958,27854,0.8601278092913046,#03702e
8,business,29137.598922833877,23150,26885,0.8610749488562396,#03702e
26,beta,16651.948151154404,23587,26455,0.8915894915894916,#006729
12,According,24397.429278866974,21417,25417,0.8426250147539048,#097532
34,debt-to-equity,15207.0,22197,24320,0.9127055921052631,#006027
3,Inc.,38411.8580922811,20940,23798,0.8799058744432305,#006b2b
13,sell,23418.11262623054,20270,23734,0.8540490435661919,#067230
14,revenue,23271.373608205213,20183,23026,0.8765308781377573,#006c2c
6,Investment,30069.644004550893,19059,22618,0.842647448934477,#097532
