,Topic,Score,positive_documents,documents,positive_percentage,colors
4,Gold Crema,2653.719642856772,7737,10584,0.7310090702947846,#91d068
10,GULF,1971.962864045668,2582,8637,0.2989463934236425,#fdad60
0,Coffee,7578.7884424027,3866,6664,0.5801320528211285,#e0f295
49,มา,809.5164556260929,2078,6261,0.3318958632806261,#fdbd6d
2,café,4235.159137896706,3093,6040,0.5120860927152318,#fafdb8
44,Thailand,842.5020833333333,2845,3172,0.8969104665825978,#1b9950
31,Jackson Wang,996.1457798889871,1751,2910,0.6017182130584192,#d7ee8a
45,Reza Arap,836.5687500000167,1197,2866,0.4176552686671319,#fee593
1,Nestlé,4485.360852171916,1041,2561,0.4064818430300664,#fee28f
8,Brand,2099.9887627068724,1578,2439,0.6469864698646987,#c1e57b
15,Creamy,1540.2022519759641,1155,2284,0.5056917688266199,#fdfebc
6,kopi,2302.763741998299,362,2222,0.1629162916291629,#e95538
9,Black,2047.1034031892557,556,2197,0.25307237141556665,#f98e52
12,kahve,1686.2345283188968,303,2135,0.14192037470725996,#e34933
5,classic,2340.878658147408,619,2036,0.30402750491159136,#fdaf62
