,Topic,Score,positive_documents,documents,positive_percentage,colors
2,Nescau,11604.504637723383,2067,15204,0.13595106550907657,#e3f4de
1,food,11870.12209903294,3687,9080,0.40605726872246695,#97d492
5,chocolate,8008.409515092409,4336,8264,0.5246853823814134,#6abf71
3,products,11382.03519171545,3669,6928,0.5295900692840647,#68be70
0,Market,12073.6479919673,2994,6750,0.44355555555555554,#88ce87
7,million,7317.780610879382,3315,5203,0.6371324236017682,#3ea75a
21,Russia,4765.945855205572,607,4961,0.12235436403950817,#e5f5e1
9,Group,6881.31789032803,1664,4866,0.3419646526921496,#abdda5
6,brands,7521.813109039136,2694,4750,0.5671578947368421,#58b668
8,business,7091.217164865332,2624,4550,0.5767032967032967,#55b567
4,Global,8580.5497898531,2487,4124,0.603055286129971,#4aaf61
37,continue,3882.265450039841,1771,3982,0.4447513812154696,#88ce87
16,provide,5143.491958994697,2461,3836,0.6415537017726799,#3da65a
29,Ukraine,4189.607548443279,260,3741,0.06950013365410318,#edf8ea
11,companies,6244.558457735137,1982,3445,0.5753265602322206,#55b567
