,Topic,Score,positive_documents,documents,positive_percentage,colors
0,series,6420.652286323246,3965,8980,0.44153674832962136,#feeda1
3,show,3825.065202177023,2851,5771,0.4940218333044533,#fffdbc
1,Spotify,4640.818684787434,2778,5150,0.5394174757281553,#eff8aa
2,youtube,3902.9403273809526,2254,4368,0.5160256410256411,#f8fcb6
12,movie,2466.411702095747,2172,3823,0.56814020402825,#e5f49b
18,Season,2160.8226785888232,1999,3816,0.5238469601677149,#f5fbb2
10,HBO,2628.040271955221,1329,3413,0.38939349545854085,#feda86
8,Canva,2686.863541666666,1718,3255,0.5278033794162826,#f4fab0
6,Sharing,3007.3286210317447,1084,3208,0.33790523690773067,#fdc171
7,Disney,2898.389622975923,1413,3156,0.44771863117870725,#feefa3
5,jual,3312.614583333333,1397,3013,0.46365748423498176,#fff3ac
15,film,2260.7270690124774,1582,2801,0.564798286326312,#e6f59d
21,streaming,1978.7071278765293,1449,2721,0.5325248070562293,#f2faae
4,bulan,3654.630057720017,547,2705,0.2022181146025878,#f46d43
28,Account,1646.893940755791,1189,2682,0.44332587621178227,#feeda1
