,Topic,Score,positive_documents,documents,positive_percentage,colors
0,shoes,3320.8853703859313,2235,4234,0.5278696268304204,#f4fab0
1,Adidas,3296.4857512100643,927,3521,0.2632774779892076,#fa9656
5,share,2319.787079217624,2815,3088,0.9115932642487047,#16914d
4,Black,2333.051712349793,1621,2785,0.5820466786355476,#dff293
3,sneakers,2349.096021764918,1669,2767,0.6031803397181063,#d7ee8a
6,available,2125.0716820454873,2213,2760,0.8018115942028986,#63bc62
9,items,1792.276498546696,2569,2728,0.9417155425219942,#0e8245
2,brand,2360.0900323766937,1664,2411,0.6901700539195355,#abdb6d
17,loving,1433.453125,2313,2315,0.9991360691144708,#006837
7,Size,1828.8996793949984,1332,2254,0.59094942324756,#dcf08f
14,wearing,1611.501390829784,1197,2167,0.5523765574526995,#ebf7a3
12,キ,1723.1428571428557,1468,2092,0.7017208413001912,#a5d86a
20,pair,1404.4647470349819,1212,1922,0.6305931321540063,#c9e881
10,White,1767.8500096303878,1028,1870,0.5497326203208556,#ecf7a6
31,drop,1098.0126193251187,935,1828,0.5114879649890591,#fbfdba
