,Topic,Score,positive_documents,documents,positive_percentage,colors
2,ゼン,4847.98750000132,24252,39397,0.615579866487296,#45ad5f
1,任天堂,7222.158896242741,12529,33978,0.36873859556183414,#a3da9d
4,応募,3166.0407720060975,15540,30355,0.5119420194366661,#6ec173
5,応募方法,2725.8824999986155,12319,26423,0.46622260909056507,#80ca80
7,締切,2455.5416666666624,12571,26142,0.4808736898477546,#7ac77b
0,Switch,8546.55950756268,9269,17230,0.5379570516540917,#65bd6f
11,投稿,1410.1874999999968,11215,15720,0.7134223918575063,#2c944c
6,Amazon,2526.502536781029,2231,12687,0.17584929455347995,#d9f0d3
9,PayPay,1781.9322916666667,2459,12385,0.19854662898667744,#d4eece
14,抽選,1315.7750599935707,6979,11400,0.6121929824561404,#46ae60
34,ゼント企画,732.8795920759575,4925,9592,0.5134487072560467,#6ec173
43,抽選で1名様,663.0800000001223,4325,7756,0.5576328004125838,#5db96b
31,わたくしヒカキン,761.4750000000726,6495,6495,1.0,#00441b
17,Switch有機,1139.9427083333348,5417,5774,0.9381711118808451,#005723
29,選べる,768.4153566730442,1080,5622,0.192102454642476,#d5efcf
