,Topic,Score,positive_documents,documents,positive_percentage,colors
0,産,20252.589367516815,23044,49131,0.4690317722008508,#fff6b0
5,産スタジアム,3509.2154166662945,6091,10220,0.5959882583170254,#daf08d
3,車,3843.3375037735914,3495,7625,0.4583606557377049,#fff2aa
7,GT-R,2509.0483549612845,1823,5887,0.3096653643621539,#fdb365
10,自動車,2383.892749182988,1656,4037,0.4102055982164974,#fee491
40,Skyline,1310.151537698413,706,3525,0.2002836879432624,#f46d43
21,売,1603.5088013201032,1360,3274,0.41539401343921806,#fee593
1,vehicles,4131.3781978377265,1803,2853,0.6319663512092534,#c9e881
4,Toyota,3623.82560020733,1121,2655,0.4222222222222222,#fee797
2,Motor,4026.4975201099337,1095,2633,0.41587542726927457,#fee593
36,ヨタ,1386.589568279807,847,2495,0.33947895791583166,#fdc171
48,新型,1192.4104736886684,1231,2383,0.5165757448594209,#f8fcb6
9,Auto,2386.524778018626,799,2144,0.3726679104477612,#fed27f
11,model,2288.9180127088443,1192,1980,0.602020202020202,#d7ee8a
8,Ford,2483.088941732844,776,1879,0.41298563065460353,#fee491
