,Topic,Score,positive_documents,documents,positive_percentage,colors
1,diapers,3158.884801662324,2698,3870,0.697157622739018,#2f984f
0,Baby,3498.8787854217703,2268,3623,0.6260005520287055,#40aa5d
9,Parent,1169.5305539363032,1696,1920,0.8833333333333333,#00692a
24,wearing,750.3420173576419,414,1461,0.28336755646817247,#bde5b6
21,change,807.00114052614,467,1171,0.39880444064901793,#98d594
34,mom,662.8005758726779,815,1168,0.6977739726027398,#2f984f
2,brands,1540.733655777749,808,1129,0.7156775907883083,#2b934b
10,price,1054.090724967928,544,1087,0.500459981600736,#73c476
40,video,594.3511239301465,514,1048,0.4904580152671756,#78c679
32,kids,688.630896600938,443,1016,0.4360236220472441,#8bcf89
27,super,744.6039162017261,656,957,0.6854754440961337,#329b51
4,Pants,1343.5093714566096,555,954,0.5817610062893082,#53b466
7,products,1228.839695369278,653,953,0.6852046169989506,#329b51
8,pack,1174.2447051518739,461,943,0.48886532343584305,#78c679
5,Gamble,1296.1958795767562,343,931,0.3684210526315789,#a3da9d
