,Topic,Score,positive_documents,documents,positive_percentage,colors
0,パナソニック,25936.428577948605,33178,53337,0.6220447344245084,#cdea83
1,Global,11545.86077811306,4908,6176,0.7946891191709845,#69be63
2,report,11227.423460206976,4746,5852,0.8110047846889952,#5db961
5,Region,8980.4698521336,4258,5557,0.7662407773978765,#7ac665
10,industry,8153.5905498710545,4705,5364,0.8771439224459359,#2aa054
7,Key,8798.707605976404,4613,5266,0.8759969616407141,#2aa054
3,growth,9149.109159910156,4644,5244,0.88558352402746,#249d53
11,Product,7943.928320296397,4586,5167,0.8875556415715116,#219c52
19,provides,6403.975790013565,4630,5143,0.9002527707563679,#199750
12,Business,7094.92702973102,4158,5024,0.8276273885350318,#51b35e
8,Research,8733.418436090795,4426,4984,0.8880417335473515,#219c52
6,forecast,8946.758320453562,4256,4935,0.8624113475177305,#36a657
16,Technology,6726.413993062506,4062,4856,0.836490939044481,#48ae5c
13,Trends,6954.265677751063,3989,4825,0.8267357512953368,#51b35e
4,Analysis,9136.784883691946,4187,4821,0.8684920141049575,#30a356
