,Topic,Score,positive_documents,documents,positive_percentage,colors
4,Cashapp,4323.783125,4770,7982,0.5975945878226009,#daf08d
1,Venmo,4765.703841991342,4426,7828,0.5654062340316811,#e6f59d
0,Payment,6103.234893609122,4079,7496,0.5441568836712913,#eef8a8
2,account,4450.312098555632,2664,6508,0.4093423478795329,#fee28f
5,Gcash,4203.264831349202,3445,6088,0.5658672798948752,#e6f59d
7,Selling,3605.0837697025217,3635,5648,0.6435906515580736,#c3e67d
3,Pay,4444.278234583869,2745,5363,0.5118403878426254,#fafdb8
10,send,2882.5788680849646,2896,4911,0.5896965994705763,#ddf191
12,App,2583.520766671063,2614,4738,0.5517095821021528,#ebf7a3
9,money,2946.233978786771,1696,4631,0.3662275966313971,#fece7c
16,available,2162.3114291619745,3053,4311,0.7081883553699838,#a0d669
6,Bank,3622.652563499453,2295,4111,0.5582583313062515,#e9f6a1
8,shipping,3268.7981620350165,3022,4063,0.7437853802608909,#89cc67
15,wts,2223.8645833333303,2678,4022,0.6658378915962208,#b7e075
11,price,2600.2117558752907,2615,3826,0.6834814427600627,#afdd70
