,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Pepsiman,5372.69839288814,4154,13175,0.31529411764705884,#fdb567
1,Pespi,1902.5989583333328,606,3633,0.16680429397192403,#ea5739
2,game,482.36115775109226,663,964,0.6877593360995851,#abdb6d
3,Drink,463.600884469657,258,617,0.4181523500810373,#fee695
37,KID,81.328125,35,456,0.07675438596491228,#ca2427
4,Pepsiman Forever,370.3046875,0,432,0.0,#a50026
5,Pepsiman for President,361.00625,420,421,0.997624703087886,#006837
13,fun,133.39270833333333,327,374,0.8743315508021391,#2da155
22,character,107.93000893844535,330,374,0.8823529411764706,#279f53
6,Brad's,289.6822916666667,155,365,0.4246575342465753,#fee797
25,PlayStation,104.36086309523809,116,352,0.32954545454545453,#fdbd6d
7,Coca-Cola,216.20466785053137,38,317,0.11987381703470032,#dc3b2c
8,manese,161.83437499999997,4,266,0.015037593984962405,#ab0626
14,PS1,133.35823412698412,116,256,0.453125,#fff1a8
10,name,148.1610850954601,148,248,0.5967741935483871,#daf08d
