,Topic,Score,positive_documents,documents,positive_percentage,colors
1,Global,48733.265887172194,20582,25046,0.8217679469775613,#54b45f
2,report,47278.39035260654,19276,23417,0.823162659606269,#54b45f
0,Healthcare,51207.216114258576,16704,22502,0.7423340147542441,#89cc67
13,provides,28311.661264535687,19216,21521,0.8928953115561544,#1e9a51
5,Key,36732.81160466612,18775,21443,0.8755771114116495,#2aa054
9,Region,32366.42411659602,16170,20731,0.7799913173508273,#73c264
3,Systems,38850.80098238315,16422,20720,0.7925675675675675,#6bbf64
20,information,25871.646764030054,17858,20448,0.8733372456964006,#2da155
4,Medical,38837.2651516418,15232,20251,0.7521603871413758,#84ca66
8,Product,33451.15314192561,17398,20061,0.8672548726384527,#30a356
10,Technology,31156.679080953203,17219,19834,0.8681556922456388,#30a356
29,CAGR,22655.86333236335,15155,19558,0.774874731567645,#75c465
16,industry,27438.896113005147,17097,19403,0.8811523991135392,#279f53
18,Trends,26747.05732881042,15342,18933,0.81033116780225,#5db961
12,Segment,29467.132421639126,16496,18821,0.8764677753573137,#2aa054
