,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Kinn,9290.61768127714,4604,16252,0.28328821068176224,#fba35c
31,Jennie,1334.0580958773303,1725,4427,0.3896543934944658,#feda86
3,Baddies,2702.2449969188915,1018,4038,0.2521050024764735,#f98e52
1,Audi,3504.4133333882587,695,3131,0.22197381028425422,#f67a49
8,Vegas,2176.688360799878,653,3107,0.2101705825555198,#f57245
2,Volkswagen,3437.9849976899955,453,2476,0.18295638126009692,#ee613e
28,Pete,1345.0118397631968,603,2327,0.25913192952299097,#f99355
5,Taycan,2430.3315114294223,773,2170,0.356221198156682,#feca79
4,Sport,2530.111068836051,1164,2127,0.5472496473906912,#ecf7a6
10,BMW,2063.8233516105056,692,1979,0.34967155128852956,#fdc776
21,Series,1508.8278443707773,826,1878,0.4398296059637913,#feec9f
7,Model,2183.5573012720356,1015,1823,0.5567745474492595,#e9f6a1
38,Baddies 2 Baddies,1142.78302678573,568,1801,0.31538034425319267,#fdb567
9,Auto,2083.731994549148,497,1796,0.2767260579064588,#fb9d59
14,team,1853.1480115309078,1115,1734,0.6430219146482122,#c3e67d
