,Topic,Score,positive_documents,documents,positive_percentage,colors
2,Jaehyun,3106.944791666593,4620,12303,0.37551816630090223,#a0d99b
4,bag,2422.314452455624,2345,7935,0.295526149968494,#bae3b3
0,Wears,4203.615426392921,2921,7093,0.4118144649654589,#94d390
7,Win,1309.9947222222213,2094,5623,0.3723990752267473,#a2d99c
1,Devil Wears,3441.0749999998757,1640,4686,0.3499786598378148,#a9dca3
11,SIGNOR JAEHYUN,1048.0547783430898,1067,4473,0.2385423653029287,#caeac3
5,Fashion,1874.1014193477708,2596,4039,0.642733349839069,#3da65a
10,Milan,1058.9539481351978,2010,3736,0.5380085653104925,#65bd6f
12,Ambassador,992.8239583333382,1357,3281,0.4135934166412679,#94d390
3,Gucci,2577.0423616314233,923,3181,0.29016032694121346,#bbe4b4
8,show,1288.8414978957146,1866,3126,0.5969289827255279,#4db163
6,brand,1455.432089786067,1905,3018,0.6312127236580517,#3fa95c
15,boy,896.4489583333341,813,2631,0.3090079817559863,#b5e1ae
16,Collection,871.303011813862,1520,2031,0.7483998030526834,#238b45
24,Instagram,658.6150677893228,1095,1991,0.5499748869914616,#60ba6c
