,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Verstappen,23707.139905950604,3634,14268,0.2546958228202972,#f99153
1,Ferrari,18808.18458273552,3317,13433,0.24692920419861536,#f88c51
4,Perez,13980.659170757699,2664,10380,0.2566473988439306,#f99153
5,Mercedes,13187.698753570787,2706,9800,0.2761224489795918,#fb9d59
3,Max Verstappen,14254.008112799282,2639,9313,0.2833673359819607,#fba35c
2,team,14366.132208693662,4353,9048,0.48110079575596815,#fffab6
24,Redbull,5715.355114631044,2129,9022,0.2359787186876524,#f7844e
6,F1,12556.481421686076,2961,8910,0.3323232323232323,#fdbf6f
7,Leclerc,11849.024343560097,1587,6946,0.22847682119205298,#f67f4b
8,Formula,10663.167861712258,2282,6706,0.34029227557411273,#fdc372
9,Hamilton,10393.604535663373,1717,6488,0.26464241676942046,#fa9656
10,race,9483.26393228719,3542,5688,0.6227144866385372,#cdea83
26,GP,5476.546382754335,1474,5625,0.26204444444444447,#fa9656
15,Sergio Perez,7318.934162023641,1664,5367,0.31004285448108815,#fdb365
31,Checo,5124.078618239585,743,5100,0.14568627450980393,#e44c34
