,Topic,Score,positive_documents,documents,positive_percentage,colors
17,Sapag,6300.348737547164,2662,9742,0.27324984602750974,#c1e6ba
0,business,12486.384495584534,5400,6236,0.8659397049390635,#026f2e
4,services,10073.900352266333,5173,5756,0.8987143849895761,#006428
8,Technology,8752.935241379035,4934,5478,0.900693683826214,#006428
3,products,10100.041526476703,5177,5424,0.9544616519174042,#005221
5,Global,9538.253282897698,4545,5262,0.863740022805017,#026f2e
2,solutions,10405.456784315733,4874,5189,0.9392946617845442,#005723
12,provide,7417.857603932135,4908,5112,0.960093896713615,#005120
9,Application,8629.822249698655,4718,4970,0.9492957746478873,#005321
15,learning,6410.395225844736,4487,4875,0.9204102564102564,#005e26
10,experience,8231.991751283593,4619,4819,0.9584976136127827,#005120
1,Management,10547.488109096192,4264,4719,0.9035812672176309,#006328
24,offers,5581.4870107810075,4502,4662,0.9656799656799657,#004e1f
13,Systems,7190.694991712876,4006,4621,0.8669119238260117,#026f2e
7,customers,8934.055758762426,4109,4441,0.9252420625985138,#005c25
