,Topic,Score,positive_documents,documents,positive_percentage,colors
1,business,23837.950848541965,14442,17571,0.8219224859142906,#54b45f
0,Market,25281.28651380419,13152,16584,0.7930535455861071,#69be63
3,Services,20501.65742391636,11721,14337,0.8175350491734672,#57b65f
2,customers,21289.10873817683,12085,14220,0.84985935302391,#3faa59
12,provides,14337.470849413374,11501,12386,0.9285483610528016,#128a49
9,companies,15125.98730813845,10272,12017,0.8547890488474661,#3ca959
6,platform,15713.138349294946,10118,11976,0.8448563794255177,#42ac5a
4,report,17662.86509744825,9380,11888,0.7890309555854643,#6ec064
14,experience,13712.9049231995,10463,11857,0.8824323184616683,#279f53
10,solutions,15039.050407167464,10385,11519,0.9015539543363139,#199750
5,Management,16281.024014287292,9513,11183,0.8506661897523026,#3faa59
13,Sales,14046.374564159845,8687,10950,0.7933333333333333,#69be63
28,Learn,9882.16296829909,9481,10945,0.8662402923709457,#33a456
16,technology,13074.226406583659,9464,10765,0.8791453785415699,#279f53
20,leading,11990.036046390002,9273,10658,0.87005066616626,#30a356
