,Topic,Score,positive_documents,documents,positive_percentage,colors
1,삼성,9167.735283346923,2456,15064,0.16303770578863516,#e95538
0,Galaxy,15250.750370649132,4973,12386,0.4015016954626191,#fee08b
3,iPhone,6725.66088095358,4862,9462,0.5138448530965969,#fafdb8
5,phone,6295.23897309015,3423,7062,0.4847068819031436,#fffbb8
2,한,6933.938107592782,484,5780,0.0837370242214533,#ce2827
4,Apple,6711.018453411005,2137,5368,0.39809985096870343,#fede89
13,Ultra,4271.8343843433795,1827,4351,0.4199034704665594,#fee695
7,TV,4971.338293751029,2332,4350,0.5360919540229885,#f1f9ac
10,smartphone,4604.3483691675765,2078,4158,0.49975949975949974,#fffebe
8,등,4786.932530121201,191,3920,0.04872448979591837,#bd1726
6,했다,5593.548027488437,38,3827,0.009929448654298406,#a90426
11,것,4328.399900358911,92,3725,0.024697986577181207,#b10b26
12,5G,4323.305570338495,1266,3613,0.35040132853584277,#fdc776
9,Android,4629.844796754618,1314,3548,0.37034949267192785,#fed07e
14,있다,4254.150232309787,31,3515,0.008819345661450925,#a90426
