,Topic,Score,positive_documents,documents,positive_percentage,colors
5,million,2823.4741995519425,1523,2160,0.7050925925925926,#a2d76a
11,offer,2312.8586676480004,1505,2103,0.7156443176414645,#9bd469
2,services,3154.4035443275598,1798,2095,0.8582338902147971,#39a758
0,market,3975.14029120188,1733,2085,0.8311750599520383,#4eb15d
16,information,2075.3074431919936,1751,2050,0.8541463414634146,#3ca959
1,Business,3349.5081514574317,1656,1943,0.8522902727740608,#3ca959
6,provides,2624.6916571626607,1711,1927,0.8879086663207058,#219c52
12,billion,2240.0461086893297,1447,1918,0.7544316996871742,#82c966
17,announced,2061.919940476187,1701,1890,0.9,#199750
4,Finance,2903.237158414384,1507,1769,0.8518937252685133,#3ca959
7,customers,2589.7515751791843,1173,1755,0.6683760683760683,#b5df74
22,Companies,1864.6062545093791,1431,1691,0.8462448255470136,#42ac5a
3,Capital,3123.7190342368317,1397,1629,0.8575813382443217,#39a758
37,team,1599.499736578781,1455,1535,0.9478827361563518,#0d8044
8,banking,2519.0035149203927,1321,1525,0.8662295081967213,#33a456
