,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Beauty,11900.105939586665,8371,10423,0.8031276983593975,#147e3a
1,products,9114.4752146101,6511,7467,0.871970001339226,#006d2c
4,makeup,7205.242086039485,5561,7008,0.7935216894977168,#16803c
2,Shop,7652.395113534603,5561,6777,0.8205695735576214,#0e7936
3,brand,7493.800365309831,4590,5721,0.8023072889355007,#147e3a
9,Ulta,4346.979298297713,2061,5657,0.3643273820045961,#a4da9e
5,sale,6518.2928134205085,3533,5354,0.6598804632050803,#39a257
7,gift,5329.448367320672,4567,5259,0.868416048678456,#016e2d
6,skin,5883.807039104295,4541,5184,0.8759645061728395,#006c2c
8,Lip,4369.362332533397,3172,4126,0.7687833252544838,#1e8741
11,online,4098.955095002565,2736,3651,0.7493837304847987,#238b45
14,skincare,3472.6628730778602,2816,3379,0.8333826575910033,#0b7734
17,Eye,3058.6372784382393,2964,3357,0.8829311885612153,#00692a
15,available,3400.231848056802,2974,3272,0.9089242053789731,#006227
20,Cream,2960.7040493709746,2735,3119,0.876883616543764,#006c2c
