,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Global,36925.18893310891,16317,20395,0.8000490316253984,#66bd63
1,report,34662.56331687475,15137,18424,0.8215914025184542,#54b45f
3,Region,28444.4743364303,13773,18124,0.7599315824321342,#7fc866
8,Industry,26482.803174725897,15395,17325,0.8886002886002886,#219c52
2,growth,28922.348712916268,15170,16865,0.8994959976282242,#199750
10,Business,23710.474687556165,13973,16728,0.8353060736489718,#4bb05c
6,Key,27047.772008590553,14688,16638,0.8827984132708259,#279f53
17,provides,20537.775327392686,14977,16393,0.9136216677850302,#16914d
7,Systems,26987.945793938165,12801,16250,0.7877538461538461,#6ec064
12,Industrial,23228.52666767755,12293,16222,0.75779805202811,#82c966
11,Product,23248.869061871814,13700,15259,0.8978307883871813,#1b9950
24,companies,18575.822267532887,13635,15254,0.8938639045496263,#1e9a51
5,forecast,27397.650336669307,13441,15167,0.8862003032900376,#249d53
19,Technology,20083.340467221704,12993,15017,0.8652194179929413,#33a456
15,Services,20702.861154348437,12581,14850,0.8472053872053872,#42ac5a
