,Topic,Score,positive_documents,documents,positive_percentage,colors
0,ソニー,7858.208943756535,9569,19865,0.4817014850239114,#7ac77b
2,game,6119.045809688986,2630,5832,0.450960219478738,#86cc85
1,PlayStation,6397.351111320388,1711,5172,0.3308197989172467,#afdfa8
3,Microsoft,4459.988217430404,1074,3938,0.2727272727272727,#c1e6ba
5,PS5,3227.8848603929646,1367,3776,0.3620233050847458,#a5db9f
6,Xbox,3214.933618291648,954,2897,0.32930617880566104,#afdfa8
8,Video,2711.723005330004,1680,2861,0.5872072701852499,#50b264
11,release,2434.0109559924017,1565,2837,0.551639055340148,#5eb96b
7,TV,2775.211836218069,1604,2781,0.5767709457029845,#55b567
4,Camera,3245.850364128676,1730,2680,0.6455223880597015,#3ca559
24,Spider-Man,1849.827182536023,852,2416,0.3526490066225166,#a8dca2
9,Series,2494.599783854623,1426,2264,0.6298586572438163,#3fa95c
16,Studios,2042.4010099905186,1291,2199,0.5870850386539336,#50b264
28,movie,1754.044626978137,1091,2187,0.49885688157293095,#75c477
29,show,1751.2822325203408,1282,2069,0.6196230062832286,#43ac5e
