,Topic,Score,positive_documents,documents,positive_percentage,colors
0,streams,8201.545897969521,20122,31899,0.6308034734631179,#c9e881
3,song,3644.9232307018387,8235,11421,0.7210401891252955,#98d368
14,surpassed,1656.8114583333297,8307,9985,0.8319479218828242,#4eb15d
9,Global,2177.1197916666656,3921,9568,0.40980351170568563,#fee28f
10,Chart,1968.7343749999793,3737,8332,0.4485117618819011,#feefa3
1,YouTube,4499.71646825397,3939,6959,0.5660296019543037,#e6f59d
6,playlist,3062.772619047612,3300,6237,0.5291005291005291,#f4fab0
2,Music,3853.3136148842077,3526,6228,0.5661528580603725,#e6f59d
29,#1,907.8624819624754,2904,5909,0.4914537146725334,#fffcba
13,album,1656.9237255877376,3675,5676,0.6474630021141649,#c1e57b
16,Artists,1503.9941489268413,3416,5223,0.6540302508137086,#bde379
25,debut,1018.6572916666672,2571,5116,0.5025410476935106,#feffbe
28,million streams,924.0089083649616,3528,4844,0.7283236994219653,#93d168
4,premium,3442.2974489047215,1752,4301,0.4073471285747501,#fee28f
30,K-Pop,906.341964285714,2579,4237,0.6086853906065612,#d5ed88
