,Topic,Score,positive_documents,documents,positive_percentage,colors
0,COFFEE,7138.459492129273,4611,17145,0.2689413823272091,#fa9857
10,ゼン,1699.2958333333288,3136,11987,0.26161675148077085,#f99355
19,COFFEE CHOICEト ラ イ アルク ー ポン を 10万名,1296.4875000002296,745,9429,0.0790115600806024,#cc2627
3,workers,3262.384852757555,1722,5262,0.3272519954389966,#fdbb6c
1,drink,4285.895030307078,2317,5239,0.442259973277343,#feeda1
2,order,3286.209364316019,1442,4525,0.31867403314917125,#fdb768
4,union,2469.264854428993,1348,4488,0.3003565062388592,#fdad60
5,barista,2437.7154761904762,1123,3975,0.2825157232704403,#fba35c
11,unionized,1620.2542492229961,1033,3325,0.31067669172932333,#fdb365
8,Amazon,1741.7849984892086,1523,2591,0.5878039367039753,#ddf191
6,cup,2116.597063289577,1128,2197,0.5134274010013655,#fafdb8
48,instead,968.0412698412699,287,2171,0.1321971441731921,#e0422f
9,employees,1726.5796769253927,713,2128,0.3350563909774436,#fdbf6f
22,name,1241.427390361188,713,2102,0.3392007611798287,#fdc171
23,prices,1222.3513206581222,536,1935,0.27700258397932814,#fb9d59
