,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Musk,19269.23548695212,3410,17595,0.19380505825518612,#d5efcf
2,Elon Musk,11089.111379608952,2053,10993,0.186755207859547,#d7efd1
1,Twitter,12749.759180267916,2010,10815,0.18585298196948682,#d7efd1
13,$TSLA,4059.615641305133,1735,6330,0.2740916271721959,#c0e6b9
3,stock,6566.706733969917,2007,6198,0.32381413359148115,#b1e0ab
9,CEO,4913.491077447592,1198,4966,0.24124043495771244,#caeac3
8,vehicles,5063.7349369077865,1791,4910,0.36476578411405297,#a4da9e
7,report,5518.53865494685,1947,4866,0.4001233045622688,#98d594
6,market,5621.989018582164,2433,4825,0.5042487046632125,#72c375
12,billion,4399.468004608054,1386,4726,0.29327126534066866,#bae3b3
10,price,4658.178311851449,2071,4659,0.4445159905559133,#88ce87
4,Model,5844.862073042999,1889,4629,0.4080794988118384,#95d391
5,shares,5725.3058762913015,2098,4566,0.45948313622426634,#83cb82
11,electric,4469.746270568521,1801,4352,0.4138327205882353,#94d390
15,SpaceX,3331.522482715406,1158,3929,0.29473148383812675,#bae3b3
