,Topic,Score,positive_documents,documents,positive_percentage,colors
0,designed,1141.0848534133925,784,1283,0.6110678098207326,#d3ec87
4,Window,744.3069668978288,619,1168,0.5299657534246576,#f4fab0
7,Lamp,697.4881231597109,351,847,0.41440377804014167,#fee593
13,Vase,586.8313547563548,219,834,0.26258992805755393,#fa9656
2,artist,879.1737413296522,524,753,0.6958831341301461,#a7d96b
3,American,808.3469742063493,491,724,0.6781767955801105,#b1de71
11,York,606.9987398018646,369,630,0.5857142857142857,#dff293
1,Museum,925.2897788637883,557,623,0.8940609951845907,#1e9a51
15,created,518.6291666666668,554,570,0.9719298245614035,#07753e
8,features,693.9663688741812,551,562,0.9804270462633452,#05713c
9,collection,678.1555315011839,458,475,0.9642105263157895,#097940
22,View,403.58541666666673,441,451,0.9778270509977827,#05713c
14,color,573.6825892857145,419,448,0.9352678571428571,#108647
12,book,591.7985848353018,425,444,0.9572072072072072,#0a7b41
19,House,444.8598973427245,409,425,0.9623529411764706,#097940
