,Topic,Score,positive_documents,documents,positive_percentage,colors
0,ヨタ,17737.1129651461,16426,39293,0.41803883643397044,#fee695
3,車,4124.559182750985,2779,7053,0.39401673046930386,#fedc88
7,自動車,3458.628112597978,2103,6206,0.338865613922011,#fdc171
4,Camry,3715.7606557167996,2016,4441,0.4539518126548075,#fff1a8
22,ヨタ自動車,2441.241653636758,1584,4402,0.3598364379827351,#fecc7b
19,Price,2513.916325552114,2532,4163,0.6082152294018737,#d5ed88
1,Motor,5934.716034049643,1705,4071,0.41881601572095306,#fee695
2,vehicles,5686.787538319495,2451,3953,0.6200354161396407,#cfeb85
5,Model,3629.4834881165343,2121,3604,0.5885127635960045,#ddf191
29,used,2175.712808499593,2226,3402,0.654320987654321,#bde379
16,sales,2660.900488009656,2198,3216,0.6834577114427861,#afdd70
8,Auto,3387.8230635860605,1180,3014,0.391506303915063,#fedc88
26,drive,2257.9474004127464,1866,2620,0.7122137404580152,#9dd569
10,Corolla,3250.210347343437,1136,2590,0.4386100386100386,#feec9f
9,Ford,3362.4455935843635,1128,2542,0.4437450826121164,#feeda1
