,Topic,Score,positive_documents,documents,positive_percentage,colors
2,UPS,21508.289057134138,9348,23339,0.40053129954153993,#fee08b
1,delivery,23620.63052851426,10077,19158,0.525994362668337,#f5fbb2
3,Package,19089.49290433934,6942,16841,0.41220830116976426,#fee491
0,report,25715.003987615357,10279,13699,0.7503467406380028,#84ca66
6,business,16290.049008331605,9557,12336,0.7747243839169909,#75c465
17,High,12027.84319918237,6939,11286,0.6148325358851675,#d1ec86
12,provides,13284.882428861698,9106,10814,0.8420565933049751,#45ad5b
38,drivers,9169.637155970933,5538,10571,0.5238861034906821,#f5fbb2
27,offers,10323.526677706866,8058,9237,0.8723611562195518,#2da155
5,Group,16843.71226157914,7322,9055,0.8086140254003313,#5db961
10,growth,13764.68758187145,7689,9027,0.8517779993353274,#3ca959
15,billion,12309.198028681903,7621,9015,0.8453688297282307,#42ac5a
23,companies,10954.704653133345,6516,8994,0.7244829886591061,#96d268
25,revenue,10478.250183274067,7276,8714,0.8349781960064264,#4bb05c
24,customers,10549.167185494827,4787,8669,0.5521974852924213,#ebf7a3
