,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Card,44997.111406262324,24978,43539,0.5736925515055468,#56b567
8,purchase,12945.733442632923,6677,16330,0.40887936313533374,#95d391
1,Bank,16356.076957077545,6679,10860,0.6150092081031308,#45ad5f
6,Market,14227.301125180235,7931,10173,0.7796127002850683,#1a843f
15,Pay,9711.428433864918,6072,10016,0.6062300319488818,#48ae60
9,Business,12744.37123135631,7395,9670,0.7647362978283351,#1f8742
4,credit-card,14470.580106888101,5570,9023,0.6173113155269866,#43ac5e
5,Financial,14275.908538585678,6663,8785,0.758451906659078,#208843
7,services,13612.123564793463,6413,8734,0.7342569269521411,#278f48
16,digital,9516.053758705502,6937,8636,0.8032654006484483,#147e3a
3,report,14495.860045866566,5652,8453,0.6686383532473678,#369f54
10,Group,11139.372718119092,4668,8412,0.5549215406562055,#5db96b
25,Global,8135.7505143136395,6565,7999,0.8207275909488686,#0e7936
23,network,8245.037787116764,5908,7878,0.74993653211475,#238b45
19,funds,8725.517298950808,5631,7853,0.7170508086081753,#2b934b
