,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Auto,11941.330458221626,2010,9697,0.20728060224811798,#f57245
4,VW,8393.287569158563,2502,8355,0.29946140035906643,#fdad60
3,Motors,8483.144186974137,2097,7051,0.2974046234576656,#fdad60
1,Porsche,10633.670402671276,1384,7013,0.19734778268929132,#f36b42
5,Audi,8129.863106268903,1704,6772,0.251624335499114,#f98e52
2,vehicles,9614.453541645998,4117,6642,0.6198434206564288,#cfeb85
7,Model,7462.334097879864,2922,6183,0.4725861232411451,#fff6b0
6,Ford,8054.417173845693,1872,6158,0.30399480350763236,#fdaf62
8,Market,7441.4235693385,3309,5412,0.6114190687361419,#d3ec87
16,BMW,5982.489030980483,1570,5404,0.2905255366395263,#fca85e
11,electric,7019.088439713116,3042,5214,0.5834292289988493,#dff293
10,Group,7344.103544546395,2234,5036,0.4436060365369341,#feeda1
9,Euro,7355.326511403814,516,4980,0.10361445783132531,#d83128
14,Page,6274.116369047622,460,4760,0.09663865546218488,#d42d27
15,Tesla,6099.706615153507,1415,4654,0.3040395358831113,#fdaf62
