,Topic,Score,positive_documents,documents,positive_percentage,colors
0,小米,14637.722695295286,2346,25484,0.09205776173285199,#d22b27
1,Redmi,10307.498393680207,3786,9425,0.4016976127320955,#fee08b
3,smartphone,6905.584088842406,2782,6052,0.4596827495042961,#fff2aa
6,都,5389.8409821237965,651,5891,0.11050755389577321,#da362a
4,5G,6158.725308055877,2635,5849,0.45050435971961017,#fff0a6
2,Samsung,7475.535023137021,1795,5513,0.3255940504262652,#fdbb6c
16,手机,3590.9049903114637,231,5195,0.04446583253128008,#bb1526
9,就,4582.853799853537,406,4945,0.08210313447927199,#ce2827
7,Smart,5370.799280297447,2459,4846,0.5074288072637226,#fdfebc
5,iPhone,6033.281558006381,1192,4779,0.2494245658087466,#f88c51
23,Series,3320.1147803166436,2395,3922,0.6106578276389597,#d3ec87
14,会,3777.18979551094,165,3863,0.04271291742169298,#b91326
10,Ultra,4510.535066991964,1103,3844,0.2869406867845994,#fca55d
8,Android,5014.450668922118,1273,3810,0.3341207349081365,#fdbf6f
12,phone,4175.8605247897685,1971,3802,0.5184113624408206,#f8fcb6
