,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Video,7031.707300779807,6542,11089,0.589954008476869,#4eb264
1,través,1897.3125,734,3668,0.20010905125408943,#d3eecd
4,Shorts,836.3552763209011,1302,2044,0.636986301369863,#3ea75a
17,VIEWS,467.7132124819628,1416,1737,0.8151986183074266,#117b38
2,channel,1045.4047619047617,1143,1652,0.6918886198547215,#309950
5,aracılığıyla,810.0625,160,1595,0.10031347962382445,#e9f7e5
3,Official Video,862.7093750000009,851,1489,0.5715245130960376,#56b567
8,ผ่าน,660.8875,271,1475,0.18372881355932202,#d7efd1
20,출처,446.44375000000014,260,1452,0.1790633608815427,#d9f0d3
14,MV,518.2125000000002,475,1307,0.3634276970160673,#a4da9e
7,Show,718.3238591269841,733,1273,0.5758051846032993,#55b567
6,Official Music Video,776.7905968118204,820,1229,0.6672091131000814,#37a055
9,Song,647.3895833333336,824,1136,0.7253521126760564,#29914a
12,配信,549.8612500000006,607,1119,0.5424486148346738,#63bc6e
10,Stream,608.0562500000001,719,1081,0.6651248843663274,#37a055
