,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Brand,1949.3597200279232,1454,1914,0.7596656217345873,#208843
2,outfit,1848.2488296425772,1387,1508,0.919761273209549,#005e26
3,dress,1099.9497130825375,1212,1313,0.9230769230769231,#005c25
1,fashion,1913.7501724332371,961,1248,0.7700320512820513,#1d8640
5,Price,793.7409649378396,920,1088,0.8455882352941176,#087432
7,Size,662.9645833333332,786,969,0.8111455108359134,#127c39
14,fit,457.22395833333337,689,760,0.906578947368421,#006227
43,XL,246.53125,607,649,0.9352850539291218,#005924
9,Blazer,602.4027011183261,537,596,0.9010067114093959,#006428
12,Bag,521.098511904762,495,594,0.8333333333333334,#0b7734
4,style,898.1108245920751,547,586,0.9334470989761092,#005a24
6,コーデ,710.0147366522365,528,574,0.9198606271777003,#005e26
18,price and stock may change from country to country,371.96666474122,516,539,0.9573283858998145,#005120
27,Pants,327.3708333333333,456,516,0.8837209302325582,#00692a
8,clothing,606.809192838895,239,443,0.5395033860045146,#63bc6e
