,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Vintage,5668.915609594655,3174,5981,0.5306804882126734,#68be70
2,Size,4962.223058861883,2249,4912,0.4578583061889251,#83cb82
1,Black,5466.286870757056,1790,4746,0.3771597134428993,#a0d99b
3,Card,3661.977936771485,1776,4182,0.4246771879483501,#90d18d
6,Women,2942.404695044772,1468,3014,0.4870603848706038,#79c67a
5,Box,2992.312797619047,1292,2968,0.4353099730458221,#8bcf89
4,White,3192.664285714286,1387,2891,0.47976478727084054,#7cc87c
8,Blue,2790.384771825397,1454,2812,0.5170697012802276,#6dc072
14,sell,2244.348221117408,1187,2732,0.43448023426061494,#8bcf89
9,Silver,2783.5050040127353,1114,2608,0.42714723926380366,#8ed08b
10,Rare,2600.8117063492064,1537,2600,0.5911538461538461,#4eb264
7,Gold,2928.897974811635,1486,2573,0.5775359502526234,#55b567
18,sale,2037.8054693352506,1356,2345,0.5782515991471215,#53b466
11,Signed,2488.8339781746035,1102,2282,0.4829097283085013,#7ac77b
21,Listing,1975.57875492563,1206,2257,0.5343376163048295,#66bd6f
